"ID";"Nombre";"Fecha de nacimiento";"Ubicación";"Sexo";"Veterinario/a";"Pelaje";"Pedigree";"Mostrar en Web";"Madre";"Padre";"Jinete";"Stock";"Observaciones";"Estado";"Inicio doma";"Fin doma";"Clasificación"
"5";"Aca Estoy (RR)";"2/10/2021";"Haras San Jose Del Moro";"Padrillo";"Luis Moreno";"Zaino";"";"false";"Sandalia (RR)";"Diablo Blanco";"";"0";"Ultima generación nacida en el Haras, aun no esta inscripto en Fomento Equino.
Se pasaron los datos a Sebastian Despuy para que sea anotado. ";"true";"10/3/2022";"10/3/2022";"Estado Inicial"
"6";"Sandalia (RR)";"4/11/2017";"Tierra Santa";"Yegua";"Luis Moreno";"Tordillo";"https://drive.google.com/file/d/1-HoxOt1v79KTXSkOFQn1I2QvslDTcng8/view?usp=sharing";"false";"Ballycullen P. Compadre";"Con Air";"";"0";"";"true";"10/3/2022";"10/3/2022";"Training"
"7";"Receptora Sebastian";"31/12/1969";"Doña Pilar (Embriones)";"Yegua";"Luis Moreno";"Alazán";"";"false";"";"";"";"0";"";"false";"10/3/2022";"10/3/2022";"Estado Inicial"
"41";"Diablo Blanco";"18/5/2008";"Veigy";"Padrillo";"";"Tordillo";"https://www.horsetelex.com/horses/pedigree/1547802/diablo-blanco";"true";"Pennycent";"Chacco-Blue";"Jose Larocca (h)";"0";"Creado para cargar como padre. Actualizar…";"true";"31/12/1969";"31/12/1969";"Estado Inicial"
"42";"Ballycullen P. Compadre";"20/5/2003";"Haras San Jose Del Moro";"Yegua";"";"Tordillo";"https://drive.google.com/file/d/1uIm23Bg4bLOo18sFy-fL2Cyvtd5uE26b/view?usp=sharing";"false";"";"";"";"0";"";"true";"31/12/1969";"31/12/1969";"Yegua con Potrillo al Pie"
"43";"Pegasus Champein";"25/11/2015";"Haras San Jose Del Moro";"Yegua";"";"Tordillo";"";"false";"";"";"";"1";"Creada para cargar como madre. Actualizar…";"true";"31/12/1969";"31/12/1969";"Yegua Madre"
"44";"Cornet Du Lys";"25/3/2004";"Europa";"Padrillo";"";"Tordillo";"https://www.horsetelex.com/horses/pedigree/584135/cornet-du-lys";"false";"Chablis Du Lys";"Cornet Obolensky";"";"55";"Stock de semen actualizado 2/8/2022 por mail de Luis Moreno (info de Doña Pilar)
CORNET DU LYS       24  (blancas) CORNET DU LYS          3  (naranjas) CORNET DU
LYS         28 (amarillas) actualizado al 18/10/2022";"true";"31/12/1969";"31/12/1969";"Estado Inicial"
"45";"R4381";"16/3/2022";"Haras San Jose Del Moro";"Yegua";"";"Tordillo";"";"false";"";"";"";"0";"Para devolver";"true";"31/12/1969";"31/12/1969";"Estado Inicial"
"46";"Casall";"16/3/2022";"Solo Datos";"Padrillo";"";"Alazán";"";"false";"";"";"";"0";"Creado para cargar como padre. Actualizar…";"false";"31/12/1969";"31/12/1969";"Estado Inicial"
"47";"Puma";"23/3/2012";"Haras San Jose Del Moro";"Yegua";"";"Alazán";"";"false";"Gold cherry";"Diablo Blanco";"";"5";"";"true";"31/12/1969";"31/12/1969";"Yegua Preñada"
