Jinete;Caballo;Club;Fecha;Altura;Faltas;Resultado;Link
Alejandra Pimentel;Morocho (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;0;1;https://api.sanjosedelmoro.com/mediacenter/1445
Alejandra Pimentel;Brutus (RR);Club Hipico y de Golf City Bell ;19/05/2022;1.1;3;0;https://api.sanjosedelmoro.com/mediacenter/1448
Alejandra Pimentel;Brutus (RR);Club Hipico y de Golf City Bell ;19/05/2022;1.1;0;0;https://api.sanjosedelmoro.com/mediacenter/1449
Alejandra Pimentel;Morocho (RR);Martindale Country Club;16/05/2022;0.90;0;0;https://api.sanjosedelmoro.com/mediacenter/1446
Alejandra Pimentel;Brutus (RR);Martindale Country Club;16/05/2022;1.1;0;0;https://api.sanjosedelmoro.com/mediacenter/1450
Alexis Trosch;Morocho (RR);CAE;21/07/2022;1;0;1;https://api.sanjosedelmoro.com/mediacenter/1436
Alexis Trosch;Abril Libchacca;CAE;21/07/2022;1.15;0;1;https://api.sanjosedelmoro.com/mediacenter/1439
Alexis Trosch;Morocho (RR);CAE;21/07/2022;1;0;1;https://api.sanjosedelmoro.com/mediacenter/1437
Alexis Trosch;Abril Libchacca;CAE;21/07/2022;1.15;0;1;https://api.sanjosedelmoro.com/mediacenter/1438
Alexis Trosch;Morocho (RR);CAE;18/07/2022;1;0;0;https://api.sanjosedelmoro.com/mediacenter/1444
Alexis Trosch;Abril Libchacca;CHA;07/06/2022;1.15;0;1;https://api.sanjosedelmoro.com/mediacenter/1441
Alexis Trosch;Abril Libchacca;CHA;07/06/2022;1.15;0;1;https://api.sanjosedelmoro.com/mediacenter/1440
Alexis Trosch;Abril Libchacca;Club Hipico y de Golf City Bell ;19/05/2022;1.10;4;0;https://api.sanjosedelmoro.com/mediacenter/1443
Alexis Trosch;Abril Libchacca;Club Hipico y de Golf City Bell ;19/05/2022;1.10;0;0;https://api.sanjosedelmoro.com/mediacenter/1442
Alvaro Albarracin;Charlota (RR);CAE;22/09/2021;1;;;https://api.sanjosedelmoro.com/mediacenter/44
Gerardo Minuzzi;Martín Fierro (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;4;0;https://api.sanjosedelmoro.com/mediacenter/1451
Gerardo Minuzzi;Martín Fierro (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;4;0;https://api.sanjosedelmoro.com/mediacenter/1452
Gerardo Minuzzi;Rayo (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;0;1;https://api.sanjosedelmoro.com/mediacenter/1454
Gerardo Minuzzi;Rayo (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;0;1;https://api.sanjosedelmoro.com/mediacenter/1455
Gerardo Minuzzi;Juanito (RR);Club Hipico y de Golf City Bell ;19/05/2022;0.90;4;0;https://api.sanjosedelmoro.com/mediacenter/1456
Gerardo Minuzzi;Martín Fierro (RR);Martindale Country Club;16/05/2022;0.90;4;0;https://api.sanjosedelmoro.com/mediacenter/1453
Joaquin Gonzalo Albisu;Gautcho Da Quinta;Haras Santa María Del Mar ;28/10/2022;1.40;0;1;https://api.sanjosedelmoro.com/mediacenter/575
Joaquin Gonzalo Albisu;Gautcho Da Quinta;Haras Santa María Del Mar ;28/10/2022;1.40;0;1;https://api.sanjosedelmoro.com/mediacenter/574
Joaquin Gonzalo Albisu;Gautcho Da Quinta;JCR ;17/09/2022;1.45;0;3;https://api.sanjosedelmoro.com/mediacenter/573
Joaquin Gonzalo Albisu;Gautcho Da Quinta;JCR ;15/09/2022;1.40;0;1;https://api.sanjosedelmoro.com/mediacenter/572
